Compound_ID,Canonical_SMILES,Scaffold,y_true,y_prediction,y_probability_toxic,False_negative_type,inside_applicability_domain,mean_kNN_distance,max_similarity_all_development,nearest_development_compound,nearest_development_label,max_similarity_toxic_development,max_similarity_nontoxic_development,toxic_similarity_margin,MolWt,MolLogP,TPSA,HeavyAtomCount,NumHDonors,NumHAcceptors,NumRotatableBonds,NumAromaticRings,NumAliphaticRings,NumSaturatedRings,NumHeteroatoms,HallKierAlpha,Chi2n,Chi2v,Chi3n,Chi4n,Kappa1,Kappa2,Kappa3,FG_Halogen,FG_Nitro,FG_Carboxylic_acid,FG_Ester,FG_Amide,FG_Aldehyde,FG_Ketone,FG_Nitrile,FG_Primary_or_secondary_amine,FG_Tertiary_amine,FG_Quaternary_ammonium,FG_Phenol,FG_Thiol,FG_Thioether,FG_Sulfonamide,FG_Isocyanate,FG_Acyl_halide,FG_Epoxide,FG_Phosphate,FG_Aromatic_atom
CMPD_01074,CCCCC(CC)CN1C(=O)C2C3C=CC(C3)C2C1=O,O=C1NC(=O)C2C3C=CC(C3)C12,1,0,0.02690945,Confident false negative,True,4.963966638519596,0.32608695652173914,CMPD_01096,1,0.32608695652173914,0.3148148148148148,0.01127214170692431,275.39200000000005,3.009900000000002,37.38,20.0,0.0,2.0,6.0,0.0,3.0,2.0,3.0,-1.12,6.7034614131645,6.7034614131645,5.545681811295442,4.319525428336981,13.84446029858634,5.342663427206099,2.0222117057575613,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CMPD_00241,c1cc(OCC2CO2)c2ccc(OCC3CO3)cc2c1,c1cc(OCC2CO2)c2ccc(OCC3CO3)cc2c1,1,0,0.032708447,Confident false negative,True,3.3713212475914256,0.5,CMPD_00900,0,0.28205128205128205,0.5,-0.21794871794871795,272.3,2.3950000000000005,43.52,20.0,0.0,4.0,6.0,2.0,2.0,2.0,4.0,-1.7799999999999998,5.17178302717466,5.17178302717466,3.477231905704798,2.148130049379331,11.998415788636793,4.960733846344542,2.7122356316379563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
CMPD_02451,O=C(OCCF)C(c1ccccc1)c1ccccc1,c1ccc(Cc2ccccc2)cc1,1,0,0.09498427,Confident false negative,True,2.0138346161559406,0.39473684210526316,CMPD_00493,0,0.3684210526315789,0.39473684210526316,-0.026315789473684237,258.29200000000003,3.3312000000000017,26.3,19.0,0.0,2.0,5.0,2.0,0.0,0.0,3.0,-2.1599999999999997,4.110859449700939,4.110859449700939,2.8229865559151035,1.9780950363526315,13.275862374067444,6.686991636021236,3.407451789346577,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
CMPD_01627,CCOP(=O)(OCC)ON1C(=O)c2cccc3cccc(c23)C1=O,O=C1NC(=O)c2cccc3cccc1c23,1,0,0.110723525,Confident false negative,True,4.310949958543677,0.3333333333333333,CMPD_01662,1,0.3333333333333333,0.30612244897959184,0.02721088435374147,349.2790000000001,3.5485000000000024,82.14000000000001,24.0,0.0,6.0,6.0,2.0,1.0,0.0,8.0,-2.05,4.978354042634051,6.552478329313837,3.4905060827583565,2.583254388317308,16.795446105970598,6.451668404386403,2.7597703977711023,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
CMPD_00832,Cc1cc(OC(=O)N(C)C)nn1C(=O)N(C)C,c1cn[nH]c1,1,0,0.11735278,Confident false negative,True,3.1939266841357967,0.3333333333333333,CMPD_00916,0,0.24,0.3333333333333333,-0.09333333333333332,240.263,0.78162,67.67,17.0,0.0,4.0,1.0,1.0,0.0,0.0,7.0,-2.05,3.975158170998877,3.975158170998877,1.985802198709344,1.0598287389200618,13.016889632107022,4.855620041407007,2.958252865114104,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
CMPD_00714,CC1(C)C(C=C(Cl)Cl)C1C(=O)OCc1cccc(Oc2ccccc2)c1,O=C(OCc1cccc(Oc2ccccc2)c1)C1CC1,1,0,0.12735921,Confident false negative,True,4.255196140497376,0.41935483870967744,CMPD_00783,1,0.41935483870967744,0.410958904109589,0.008395934600088417,391.2940000000001,6.113300000000004,35.53,26.0,0.0,3.0,6.0,2.0,1.0,1.0,5.0,-1.9699999999999995,6.951364862149197,7.959229214049754,4.728612802172711,3.142277299552349,18.81019555142571,7.728056373419576,4.404971318880294,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
CMPD_00326,CC(=O)CC(c1ccccc1)c1c(O)c2ccccc2oc1=O,O=c1oc2ccccc2cc1Cc1ccccc1,1,0,0.1422751,Confident false negative,True,2.438947202632417,0.3508771929824561,CMPD_02534,1,0.3508771929824561,0.30612244897959184,0.04475474400286428,308.3330000000001,3.609600000000003,67.50999999999999,23.0,1.0,4.0,4.0,3.0,0.0,0.0,4.0,-2.88,5.517369609663823,5.517369609663823,3.86185397401564,2.8145578316488797,15.032579420487952,6.084896581778482,2.878885558137413,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
CMPD_02627,Oc1c(Cl)cc(Cl)c(Cl)c1Cc1c(O)c(Cl)cc(Cl)c1Cl,c1ccc(Cc2ccccc2)cc1,1,0,0.14604457,Confident false negative,True,4.569058612320487,0.5652173913043478,CMPD_02628,1,0.5652173913043478,0.4090909090909091,0.15612648221343867,406.907,6.609000000000001,40.46,21.0,2.0,2.0,2.0,2.0,0.0,0.0,8.0,-0.22,4.139487202258022,6.524216655238901,2.833848585101708,1.7698728616155308,17.1388771933375,6.492314723370736,3.2624080951290786,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
CMPD_00325,CC(=O)CC(c1ccc(Cl)cc1)c1c(O)c2ccccc2oc1=O,O=c1oc2ccccc2cc1Cc1ccccc1,1,0,0.14921394,Confident false negative,True,2.6241184238930786,0.3225806451612903,CMPD_02534,1,0.3225806451612903,0.3018867924528302,0.020693852708460136,342.7780000000001,4.263000000000003,67.50999999999999,24.0,1.0,4.0,4.0,3.0,0.0,0.0,5.0,-2.59,5.658237230710188,6.094673011182172,3.9322865761298265,2.824299237390827,16.274207510527287,6.494186106966433,3.0542879274926125,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
CMPD_00709,CC1(C)C(C(=O)OC(C#N)c2cccc(Oc3ccccc3)c2)C1(C)C,O=C(OCc1cccc(Oc2ccccc2)c1)C1CC1,1,0,0.15133815,Confident false negative,True,3.99218637431114,0.5614035087719298,CMPD_00495,0,0.3090909090909091,0.5614035087719298,-0.2523125996810207,349.43000000000006,5.268980000000004,59.32000000000001,26.0,0.0,4.0,5.0,2.0,1.0,1.0,4.0,-2.799999999999999,7.810018890983303,7.810018890983303,5.747436613927287,3.504488243932725,18.004988662131517,6.493107038733862,3.174662732490716,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
